year,month,local_avg_temp_C,local_avg_humidity,local_avg_wind_speed,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,disease_class
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,8.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,8.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,8.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,1.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
2013,4,23.191667,83.083333,0.833333,9.044,15.084,3.055,5.0
